Sr No,Test Name,Test ID,Test Code,Dictionary ID,Profile,Test Amount,Cost Of Test,Outsource Amount,Minimum Selling Price,Revenue Cap,Test Type,Outsource Center,Sample Type,Test Category,Department Name,Accreditation,Integration Code,Short Text,CAP Test,Target TAT (HH:MM),Verification Status,Test Description
409,HAPTOGLOBIN,5208173,C109,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,48:0,Not Verified,"Inflammatory Diseases 2 ml Serum
"
410,IRON DEFICIENCY PROFILE,5208172,C1296,-,No,850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Clinical Biochemistry,Not enable,-,SIRON,NO,6:0,Not Verified,"Age, transfusion history required 2 ml Serum
"
411,ALLERGY - WITHOUT DURGS (FOOD+INHALANT+NON VEG),5208171,C223,-,No,6500,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,19:0,Not Verified,"Covers 16 inhalants 2 ml Serum
"
412,CULTURE - NASAL SWAB (AEROBIC),5208170,M020,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Swab,-,Microbiology,Not enable,-,-,NO,54:0,Not Verified,"Bacterial Infection Sterile Container
"
413,ACID FAST SUSPECTIBILITY - 5 DRUGS (L- J),5208169,M003,-,No,3250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,504:0,Not Verified,"Includes Streptomycin, Isoniazid, Rifampicin, Ethambutol MTB Pure culture
"
414,ALCOHOL SCREEN,5208168,C014,-,No,1600.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Clinical Biochemistry,Not enable,-,-,NO,48:0,Not Verified,"Air Tight container, Creatinine urine will be done along 10ml of spot urine"
415,AMYLASE - URINE,5208167,C1323,-,No,800,0.00,0,0.00,0.00,Pathology,SELF,Urine,-,Clinical Biochemistry,Not enable,-,AMY,NO,6:0,Not Verified,"Acute inflammation of pancreas 1 ml Fluid
"
416,ALUMINIUM,5208166,C025,-,No,2450,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,168:0,Not Verified,"For Detecting Aluminium Toxicity 2 ml serum
"
417,"DENGUE DUO RAPID CARD (NS1,IgG,IgM)",5208165,S114,-,No,700,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Immunology/Serology,Not enable,-,NS1 G M ,NO,6:0,Not Verified,"Detects Dengue 0 to 4 Days Symptom 1 ml Serum
"
418,ADENOSINE DEAMINASE - SERUM,5208164,C251,-,No,500,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Clinical Biochemistry,Not enable,-,-,NO,6:0,Not Verified,Diagnosing Tuberculosis 2 ml Serum
419,AFB CULTURE (L-J)*,5208163,M006,-,No,1000,0.00,0,0.00,0.00,Pathology,SELF,Sputum,-,Microbiology,Not enable,-,-,NO,720:0,Not Verified,"To demonstrate TB bacilli Sample in Sterile Container
"
420,GLIADIN ANTIBODY IGG,5208162,S130,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,19:0,Not Verified,"Celiac disease 2 ml Serum
"
421,HEPATITIS B VIRUS - VIRAL LOAD (QUANTITATIVE),5208161,P001,-,No,5500,0.00,0,0.00,0.00,Pathology,SELF,EDTA Plasma,-,Molecular Biology,Not enable,-,-,NO,59:0,Not Verified,"Hepatitis B infection. 2 ml EDTA Plasma
"
422,5-HYDROXY INDOLE ACETIC ACID (5- HIAA),5208160,C188,-,No,3200,0.00,3200,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,168:0,Not Verified,"Carcinoid Syndrome.Do not consume bananas,pineapple,nuts 48 hours before collection. Mention Ct scan report,Usg and Medication history 10 ml 24 H Urine"
423,"ENTAMOEBA HISTOLYTICA (AMEBIASIS), ANTIBODY, IGG",5208159,S089,-,No,1850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,96:0,Not Verified,"Amoebiasis 2 ml Serum
"
424,FLUID CELL COUNT,5208158,H058,-,No,249,0.00,0,0.00,0.00,Pathology,SELF,BODY FLUID,-,Cytology,Not enable,-,-,NO,-,Not Verified,"Clinical History Required 1 ml Ascitic Fluid
"
425,FACTOR V LEIDEN MUTATION - HAEMATOLOGY (COAGULATION),5208157,P031,-,No,6500,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,120:0,Not Verified,"- 3 ml Citrated Plasma
"
426,CORTISOL (MORNING),5208156,C074,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Special Biochemistry,Not enable,-,-,NO,6:0,Not Verified,"Time of collection, medication 2 ml Serum
"
427,DENGUE - RNA PCR - QUALITATIVE,5208155,P025,-,No,3850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Immunology/Serology,Not enable,-,-,NO,120:0,Not Verified,"Dengue hemorrhagic fever 2 ml EDTA Plasma
"
428,CHROMOSOME ANALYSIS - BONE MARROW,5208154,R002,-,No,3250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,HEP,NO,504:0,Not Verified,"Clinical History Required 4 ml Na+Heparin Blood
"
429,MINERAL(CALCIUM),5208153,C1280,-,No,1000,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Clinical Biochemistry,Not enable,-,CAL,NO,6:0,Not Verified,"Bone Metabolism 2 ml Serum
"
430,CREATINE KINASE MB (CK-MB),5208152,C078,-,No,500,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,MB,NO,-,Not Verified,
431,FACTOR-IX (Haemophilia B),5208151,H029,-,No,2450,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,96:0,Not Verified,"- 3 ml Citrated Plasma
"
432,"ECHINOCOCCUS ANTIBODY, IGG (HYDATID SEROLOGY)",5208150,S097,-,No,1850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,96:0,Not Verified,"Cystic hydatid disease. 2 ml Serum
"
433,OXALATE - 24 Hrs. Urine,5208149,C200,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,72:0,Not Verified,"Oxalic acid 10 ml 24H Urine
"
434,IHC- BETA HUMAN CHORIONIC GONADOTROPIN (BHCG),5208148,A044,-,No,1750,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Special Biochemistry,Not enable,-,-,NO,-,Not Verified,
435,FLUID PROTEINS,5208147,C203,-,No,230,0.00,0,0.00,0.00,Pathology,SELF,BODY FLUID,-,Profiles,Not enable,-,-,NO,-,Not Verified,
436,"CHLAMYDIA, IgG ANTIBODY",5208146,S143,-,No,2070,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,168:0,Not Verified,"Type not specified IgM is selected 2 ml Serum
"
437,C3 COMPLEMENT COMPONENT*,5208145,C069,-,No,650,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Special Biochemistry,Not enable,-,-,NO,6:0,Not Verified,"SLE, Immune Complex disease. 1 ml Serum
"
438,ANTI CYSTICERCOSIS ANTIBODY (TAENIA SOLIUM)-IGG,5208144,S004,-,No,1500,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,120:0,Not Verified,"Cysticercosis 1 ml Serum
"
439,CIRCULATING IMMUNOCOMPLEX (CIC)- IgM,5208143,S081,-,No,2450,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,360:0,Not Verified,"Evaluation immune system 3 ml serum
"
440,HEMOSIDERIN - URINE,5208142,H006,-,No,650,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,72:0,Not Verified,"For Intravascular Hemolysis 10 ml Urine of LBC Container
"
441,CHLAMYDIA IGM ANTIBODIES,5208141,S141,-,No,2450,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,168:0,Not Verified,"Type not specified IgM is selected 2 ml Serum
"
442,LEISHMANIA ANTIBODY (KALAAZAR)/rk- 39 Antigen,5208140,C295,-,No,2500.0,0.00,2500.0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,168:0,Not Verified,Diagnosis of Kala Azar 1 ml Serum
443,TISSUE TRANSGLUTAMINASE IGG ANTIBODY,5208139,S104,-,No,1250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,19:0,Not Verified,"Celiac Disease & Dermatitis 2 ml Serum
"
444,RBC FOLATE,5208138,C160,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,67:0,Not Verified,"Anemia 2 ml EDTA Blood
"
445,IMMUNOGLOBULIN IgG,5208137,C115,-,No,550.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Special Biochemistry,Not enable,-,IgG,NO,6:0,Not Verified,"Age, Sex to be mentioned. 1 ml Serum"
446,BRUCELLA IgG & IgM AGGLUTINATION TEST - INFECTIOUS DISEASES,5208136,S021,-,No,3250,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,19:0,Not Verified,"Brucellosis infection 2 ml Serum
"
447,CULTURE - EAR SWAB (AEROBIC),5208135,M017,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Swab,-,Microbiology,Not enable,-,-,NO,-,Not Verified,"Bacterial Infection Swab
"
448,ACETYLCHOLINE RECEPTOR (ACHR) ANTIBODIES (BINDING)*,5208134,C1279,-,No,4800,3250.00,0,3500.00,0.00,Pathology,SELF,Serum,-,Microbiology,Not enable,-,-,NO,48:0,Not Verified,"Mention ANA findings 2 ml Serum
"
449,CD3 ABSOLUTE COUNT,5208133,H019,-,No,1650,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,19:0,Not Verified,"HIV infection monitoring 3 ml WB- EDTA
"
450,URINE DRUG SCREEN-COCAINE,5208132,C222,-,No,1150,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,6:0,Not Verified,"- 5 ml Spot Urine
"
451,ORAL GLUCOSE TOLERANCE TEST (OGTT) 3 SAMPLE,5208131,C1299,-,No,150,0.00,0,0.00,0.00,Pathology,SELF,Fluoride Plasma,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
452,TACROLIMUS - DRUG ASSAY,5208130,C060,-,No,3600,0.00,0,0.00,0.00,Pathology,SELF,EDTA WB,-,Special Biochemistry,Not enable,-,-,NO,-,Not Verified,
453,CENTROMERE ANTIBODY IGG,5208129,S102,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,19:0,Not Verified,"Mention ANA findings 9 ml Serum
"
454,TLC & DLC,5208128,H054,-,No,180,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Hematology,Not enable,-,-,NO,-,Not Verified,"Mention Age & Sex 2 ml EDTA Blood
"
455,TOTAL IgE,5208127,C176,-,No,800,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Special Biochemistry,Not enable,-,IgE,NO,6:0,Not Verified,Age and Sex to be mentioned. 1 ml Serum
456,"BRUCELLA, DNA PCR - QUALITATIVE",5208126,P021,-,No,4050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
457,CHOLESTEROL/HDL RATIO,5208125,C247,-,No,330,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Clinical Biochemistry,Not enable,-,HDL,NO,6:0,Not Verified,"12-14-hrs fasting 2 ml Serum
"
458,TOXOPLASMA DNA PCR - QUALITATIVE,5208124,P022,-,No,3850,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
459,URINE DRUG SCREEN - BENZODIAZEPINES,5208123,C201,-,No,1150,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,6:0,Not Verified," 10 ml Urine
"
460,BONE MARROW SMEAR MICROSCOPY EXAMINATION WITH PROCEDURE,5208122,H017P,-,No,1999,0.00,0,0.00,0.00,Radiology,SELF,Serum,Cytology,Hematology,Not enable,-,BONE MARROW,NO,-,Not Verified,
461,ZINC- URINE,5208121,C184,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Clinical Biochemistry,Not enable,-,-,NO,96:0,Not Verified,"Monitor industrial, dietary accidental exposure to zinc 10 ml 24 H Urine
"
462,BIOPSY- LARGE SPECIMEN (> 5CM),5208120,A005,-,No,1499,0.00,0,0.00,0.00,Pathology,SELF,Tissue,-,Histopathology,Not enable,-,HPE EXTRA LARGE ,NO,96:0,Not Verified,
463,BILIRUBIN - DIRECT,5208119,C238,-,No,100,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
464,CULTURE- AEROBIC,5207528,M009,-,No,600,0.00,700,0.00,0.00,Pathology,SELF,Any Specimen,Outsource,Microbiology,Not enable,-,-,NO,-,Not Verified,
465,CULTURE- STOOL ,5207527,M007,-,No,800,0.00,0,0.00,0.00,Pathology,SELF,Stool,Outsource,Microbiology,Not enable,-,-,NO,-,Not Verified,
466,CULTURE -SPUTUM ,5207526,M045,-,No,850,0.00,0,0.00,0.00,Pathology,SELF,Sputum,Outsource,Microbiology,Not enable,-,-,NO,-,Not Verified,SPUTUM CONTAINER
467,ALBERT STAIN (C.Diphtheriae),5207525,M039,-,No,250,0.00,0,0.00,0.00,Radiology,SELF,Serum,Special (Pathology),Pathology,Not enable,-,-,NO,-,Not Verified,Sample : Throat Swab in transport medium / sterile container.
468,Pap Smear (Cervical & Vaginal Cytology),5207524,A003,-,No,800,0.00,0,0.00,0.00,Radiology,SELF,-,Cytology,Cytology,Not enable,-,-,NO,-,Not Verified,
469,CULTURE - BLOOD  (BD BACTEC),5207523,M042,-,No,1500,0.00,0,0.00,0.00,Pathology,SELF,Serum,Outsource,Microbiology,Not enable,-,-,NO,-,Not Verified,
470,CULTURE URINE ,5207522,M044,-,No,600,0.00,400,0.00,0.00,Pathology,SELF,Urine,Outsource,Microbiology,Not enable,-,URINE  C/S,NO,-,Not Verified,URINE SAMPLE (STERILE CONTAINER)
471,CULTURE - BODY FLUIDS (AEROBIC),5207521,M015,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,BODY FLUID,Outsource,Microbiology,Not enable,-,-,NO,-,Not Verified,
472,FACTOR X,5207520,H192,-,No,6500,0.00,0,0.00,0.00,Pathology,SELF,Serum,Anaemia Markers,Pathology,Not enable,RATIO123,-,NO,3:30,Not Verified,
473,"THYROID PROFILE : T3, T4 & TSH",5207519,TFT,-,No,450,0.00,0,0.00,0.00,Pathology,SELF,Serum,Immunology,Immunology,Not enable,-,TFT,NO,-,Not Verified,
474,Thyroglobulin,5207518,C167,-,No,1650.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,Outsource,Pathology,Not enable,-,-,NO,-,Not Verified,
475,THYROXINE TOTAL (T4),5207517,C170,-,No,300,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Immunology,Not enable,-,-,NO,-,Not Verified,"2 ml of Serum (Serum)
Method : CLIA
Instrument : Centaur"
476,TRIODOTHYRONINE TOTAL (T3),5207516,C174,-,No,300,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Pathology,Not enable,-,-,NO,-,Not Verified,2 ml of Serum (Serum)
477,SYNOVIAL FLUID FOR CRYSTALS,5207515,H009,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Synovial Fluid,Special (Pathology),Pathology,Not enable,-,-,NO,-,Not Verified,
478,STOOL FOR OCCULT BLOOD,5207514,H004,-,No,149,0.00,0,0.00,0.00,Pathology,SELF,Stool,Clinical Pathology,Microbiology,Not enable,-,-,NO,-,Not Verified,
479,SODIUM - 24 Hrs. Urine,5207513,C163,-,No,230,0.00,0,0.00,0.00,Pathology,SELF,Serum,E,Pathology,Not enable,-,-,NO,-,Not Verified,
480,SICKLING TEST,5207512,H052,-,No,350,0.00,0,0.00,0.00,Pathology,SELF,Serum,Routine (Pathology),Pathology,Not enable,-,-,NO,-,Not Verified,Sickling Test
481,SGOT/AST ,5207511,C037,-,No,100,0.00,0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,SGOT,NO,-,Not Verified,
482,TESTOSTERONE FREE - HORMONE ASSAYS,5207510,C165,-,No,1150,0.00,0,0.00,0.00,Pathology,SELF,Serum,Outsource,Immunology,Not enable,-,-,NO,-,Not Verified,
483,TESTOSTERONE TOTAL,5207509,C166,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Immunology,Not enable,-,-,NO,-,Not Verified,
484,SCRUB TYPHUS IgM ANTIBODY,5207508,M067,-,No,1400,0.00,0,0.00,0.00,Pathology,SELF,Serum,Serology,Pathology,Not enable,-,-,NO,-,Not Verified,
485,RETICULOCYTE INDEX,5207507,H034,-,No,180,0.00,0,0.00,0.00,Pathology,SELF,Whole blood,Routine (Pathology),Hematology,Not enable,-,-,NO,-,Not Verified,
486,TROPONIN - T RAPID CARD,5207506,C209,-,No,1650,0.00,1650,0.00,0.00,Pathology,SELF,EDTA WB,Routine (Pathology),Pathology,Not enable,-,-,NO,-,Not Verified,
487,INTACT PARATHYROID HORMONE (IPTH)*,5207505,C114,-,No,1800,0.00,0,0.00,0.00,Pathology,SELF,EDTA Plasma,Special (Pathology),Pathology,Not enable,-,-,NO,-,Not Verified,
488,PROTHROMBIN TIME & INR,5207504,H049,-,No,450,0.00,450,0.00,0.00,Pathology,SELF,Plasma,Routine (Pathology),Biochemistry,Not enable,-,-,NO,-,Not Verified,
489,PROTEIN TOTAL,5207503,C157,-,No,99,0.00,0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,
490,Urine Protein -Quantitative,5207502,C207,-,No,230,0.00,0,0.00,0.00,Pathology,SELF,Urine,Special (Pathology),Clinical Biochemistry,Not enable,-,-,NO,-,Not Verified,"2 ml of Serum (Serum)<br />
Method : CLIA<br />
Instrument : Centaur"
491,PROLACTIN(PRL),5207501,C150,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Immunology,Not enable,-,-,NO,-,Not Verified,
492,PROGESTERONE,5207500,C149,-,No,650,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Immunology,Not enable,-,-,NO,-,Not Verified,
493,POTASSIUM,5207499,C146,-,No,399,0.00,0,0.00,0.00,Pathology,SELF,Serum,E,Biochemistry,Not enable,-,-,NO,-,Not Verified,
494,PLEURAL FLUID ANALYSIS,5207498,C093,-,No,600,0.00,600,0.00,0.00,Pathology,SELF,Fluid,Special (Pathology),Cytology,Not enable,-,-,NO,-,Not Verified,
495,PLATELET COUNT,5207497,H046,-,No,100,0.00,0,0.00,0.00,Pathology,SELF,EDTA WB,Routine (Pathology),Haematology,Not enable,-,-,NO,-,Not Verified,
496,PHOSPHORUS,5207496,C144,-,No,350,0.00,0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,
497,TUBERCULOSIS - GAMMA INTERFERON - QUANTIFERON,5207495,S112,-,No,2250,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Pathology,Not enable,-,-,NO,-,Not Verified,
498,UREA / CREATININE RATIO,5207494,C237,-,No,350,0.00,0,0.00,0.00,Pathology,SELF,Serum,Clinical Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,
499,MALARIAL PARASITE(QBC),5207493,H551,-,No,850,0.00,0,0.00,0.00,Pathology,SELF,EDTA WB,Routine (Pathology),Hematology,Not enable,-,-,NO,-,Not Verified,
500,MAGNESIUM,5207492,C132,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,
501,LH (LEUTINIZING HORMONE),5207491,C131,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Immunology,Not enable,-,-,NO,-,Not Verified,
502,LUPUS ANTICOAGULANT*,5207490,H546,-,No,2050.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Pathology,Not enable,-,-,NO,-,Not Verified,Lupus ( Metro )
503,LIPOPROTEIN A(LP-A),5207489,C129,-,No,950,0.00,0,0.00,0.00,Pathology,SELF,Serum,Outsource,Pathology,Not enable,-,-,NO,-,Not Verified,
504,LIPASE,5207488,C128,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,
505,CHOLESTEROL-LDL/ HDL RATIO,5207487,C246,-,No,350,0.00,0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,Plain Tube
506,Lactate Dehydrogenase ( Ldh ),5207486,C124,-,No,586,0.00,600,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,
507,CALCIUM IONIZED,5207485,C190,-,No,550,0.00,0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,-,Not Verified,PLAIN TUBE (RANDOM SAMPLE)
508,INSULIN - POST PRANDIAL(PP)*,5207484,C219,-,No,650,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Special Biochemistry,Not enable,-,-,NO,-,Not Verified,
509,CRP QUANTITATIVE ,5207483,C077,-,No,550,0.00,0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,CRP,NO,-,Not Verified,
510,HIV 1 WESTERN BLOT,5207482,S049,-,No,2850,0.00,0,0.00,0.00,Pathology,SELF,Serum,Outsource,Pathology,Not enable,-,-,NO,-,Not Verified,
511,HIV P24 ANTIGEN,5207481,C313,-,No,1450,0.00,0,0.00,0.00,Pathology,SELF,Serum,Outsource,Pathology,Not enable,-,-,NO,-,Not Verified,
512,HERPES SIMPLEX VIRUS- DNA PCR ,5207480,P024,-,No,4000,0.00,0,0.00,0.00,Pathology,SELF,Serum,Outsource,Biochemistry,Not enable,-,-,NO,-,Not Verified,
513,HERPES SIMPLEX VIRUS 2 IgM,5207479,S048,-,No,550,0.00,0,0.00,0.00,Pathology,SELF,Serum,Outsource,Immunology,Not enable,-,-,NO,-,Not Verified,
514,HEPATITIS E VIRUS - IGM (HEV IGM),5207478,S042,-,No,1600,0.00,1600,0.00,0.00,Pathology,SELF,Serum,Serology,Pathology,Not enable,-,-,NO,-,Not Verified,
515,HEPATITIS B ENVELOPE ANTIBODY (Anti HBe),5207477,S034,-,No,850,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Pathology,Not enable,-,-,NO,-,Not Verified,
516,CHROMIUM,5207476,C066,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,Routine (Pathology),Pathology,Not enable,-,-,NO,-,Not Verified,
517,HANGING DROP FOR V.CHOLERAE,5207475,M040,-,No,250,0.00,0,0.00,0.00,Radiology,SELF,Serum,Clinical Pathology,Pathology,Not enable,-,-,NO,-,Not Verified,For <em>Vibrio cholerae .?</em>
518,HEMOGLOBIN (HB),5207474,H033,-,No,100,0.00,0,0.00,0.00,Pathology,SELF,EDTA WB,Haematology,Hematology,Not enable,-,-,NO,-,Not Verified,
519,HELICOBACTER PYLORI ANTIGEN,5207473,S244,-,No,1550,0.00,0,0.00,0.00,Radiology,SELF,Serum,Special (Pathology),Pathology,Not enable,-,-,NO,-,Not Verified,
520,GROWTH HORMONE (GH),5207472,C108,-,No,1000,650.00,1000,700.00,700.00,Pathology,SELF,Serum,Outsource,Pathology,Not enable,-,-,NO,-,Not Verified,
521,GRAMS STAIN,5207471,M029,-,No,300,0.00,0,0.00,0.00,Radiology,SELF,-,Routine (Pathology),Microbiology,Not enable,-,-,NO,-,Not Verified,Cerebrospinal fluid (CSF) and Eye samples will be processed and reported within 2 Hours after reaching the Laboratory. 
522,HBA1C,5207470,C107,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,EDTA WB,A,Biochemistry,Not enable,-,-,NO,-,Not Verified,
523,GAMMA GLUTAMYL TRANSFERASE (GGT),5207469,C099,-,No,299.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,-,NO,0:0,Not Verified,
524,GLUCOSE 6 PHOSPHATE DEHYDROGENASE (G6PD QUANTITATIVE),5207468,C106,-,No,1200,0.00,1200,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Biochemistry,Not enable,-,-,NO,-,Not Verified,
525,LH/FSH RATIO,5207467,C1286,-,No,900,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Immunology,Not enable,-,-,NO,-,Not Verified,
526,THYROID PROFILE FREE,5207466,FTFT,-,No,700,0.00,0,0.00,0.00,Pathology,SELF,Serum,Immunology,Immunology,Not enable,-,FTFT,NO,-,Not Verified,
527,THYROXINE FREE (FT4),5207465,C169,-,No,350,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Immunology,Not enable,-,-,NO,-,Not Verified,PLAIN TUBE
528,TRIODOTHYRONINE FREE (FT3),5207464,C173,-,No,350,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Immunology,Not enable,-,-,NO,-,Not Verified,
529,FREE PSA/TOTAL PSA RATIO,5207463,C240,-,No,1550,0.00,0,0.00,0.00,Pathology,SELF,Serum,Outsource,Immunology,Not enable,-,-,NO,-,Not Verified,
530,FOLIC ACID,5207462,C097,-,No,850,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Pathology,Not enable,-,-,NO,-,Not Verified,
531,FERRITIN,5207461,C091,-,No,499,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Immunology,Not enable,-,-,NO,-,Not Verified,
532,ESTRADIOL (E2),5207460,C089,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Serum,Special (Pathology),Immunology,Not enable,-,-,NO,-,Not Verified,
533,ERYTHROCYTE SEDIMENTATION RATE (ESR),5207459,H028,-,No,200,0.00,0,0.00,0.00,Pathology,SELF,EDTA WB,Haematology,Hematology,Not enable,-,-,NO,-,Not Verified,ESR TUBE
534,"ELECTROLYTE PROFILE : POTASSIUM,CHLORIDE,SODIUM",5207458,ELECTROLYTECEP,-,No,500,0.00,0,0.00,0.00,Pathology,SELF,Serum,E,Biochemistry,Not enable,-,-,NO,-,Not Verified,
535,DEHYDROEPIANDROSTERONE SULPHATE(DHEA-S),5207457,C086,-,No,1050,0.00,0,0.00,0.00,Pathology,SELF,Serum,Outsource,Pathology,Not enable,-,-,NO,-,Not Verified,
536,D DIMER,5207456,C084,-,No,1500,0.00,1500,0.00,0.00,Pathology,SELF,Plasma,Serology,Biochemistry,Not enable,-,-,NO,-,Not Verified,
537,CYSTATIN C,5207455,C243,-,No,2050,0.00,0,0.00,0.00,Pathology,SELF,Serum,Outsource,Pathology,Not enable,-,-,NO,-,Not Verified,
538,URINE FOR CHYLURIA,5207454,C197,-,No,600.0,0.00,0.0,0.00,0.00,Pathology,SELF,Urine,Biochemistry,Pathology,Not enable,-,-,NO,-,Not Verified,
539,CREATININE,5207453,C079,-,No,100,0.00,100,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,CREAT,NO,-,Not Verified,
